arm,key,shape,dtype,ndim,cadence,column_semantics,coordinates_present,values_are,per_step_lattice_occupancy_invertible
S__seed9300000,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300000,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300000,frames,220,<U568,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300000,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300000,molecule_births,68x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300000,molecule_deaths,3598x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300000,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300000,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300000,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300000,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300000,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300000,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300000,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300000,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300001,birth_offsets,3067x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300001,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300001,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300001,frames,220,<U570,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300001,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300001,molecule_births,78x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300001,molecule_deaths,3511x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300001,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300001,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300001,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300001,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300001,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300001,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300001,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300001,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300002,birth_offsets,3095x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300002,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300002,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300002,frames,220,<U566,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300002,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300002,molecule_births,83x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300002,molecule_deaths,3500x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300002,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300002,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300002,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300002,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300002,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300002,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300002,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300002,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300003,birth_offsets,3072x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300003,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300003,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300003,frames,220,<U572,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300003,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300003,molecule_births,85x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300003,molecule_deaths,3489x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300003,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300003,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300003,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300003,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300003,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300003,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300003,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300003,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300004,birth_offsets,3161x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300004,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300004,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300004,frames,220,<U570,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300004,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300004,molecule_births,76x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300004,molecule_deaths,3609x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300004,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300004,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300004,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300004,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300004,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300004,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300004,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300004,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300005,birth_offsets,3036x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300005,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300005,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300005,frames,220,<U571,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300005,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300005,molecule_births,75x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300005,molecule_deaths,3474x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300005,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300005,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300005,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300005,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300005,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300005,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300005,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300005,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300006,birth_offsets,3151x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300006,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300006,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300006,frames,220,<U571,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300006,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300006,molecule_births,83x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300006,molecule_deaths,3596x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300006,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300006,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300006,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300006,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300006,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300006,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300006,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300006,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300007,birth_offsets,3150x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300007,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300007,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300007,frames,220,<U558,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300007,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300007,molecule_births,71x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300007,molecule_deaths,3558x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300007,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300007,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300007,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300007,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300007,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300007,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300007,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300007,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300008,birth_offsets,3127x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300008,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300008,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300008,frames,220,<U572,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300008,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300008,molecule_births,74x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300008,molecule_deaths,3561x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300008,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300008,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300008,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300008,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300008,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300008,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300008,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300008,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300009,birth_offsets,3074x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300009,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300009,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300009,frames,220,<U569,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300009,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300009,molecule_births,88x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300009,molecule_deaths,3496x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300009,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300009,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300009,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300009,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300009,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300009,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300009,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300009,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300010,birth_offsets,3239x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300010,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300010,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300010,frames,220,<U566,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300010,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300010,molecule_births,79x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300010,molecule_deaths,3718x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300010,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300010,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300010,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300010,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300010,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300010,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300010,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300010,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300011,birth_offsets,3186x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300011,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300011,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300011,frames,220,<U572,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300011,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300011,molecule_births,95x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300011,molecule_deaths,3638x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300011,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300011,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300011,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300011,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300011,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300011,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300011,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300011,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300012,birth_offsets,3146x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300012,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300012,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300012,frames,220,<U570,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300012,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300012,molecule_births,90x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300012,molecule_deaths,3576x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300012,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300012,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300012,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300012,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300012,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300012,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300012,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300012,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
S__seed9300013,birth_offsets,2984x4,int64,2,event-driven / strided,"(step, dy, dx, count) of X births RELATIVE to the organiser cell",True,aggregate,False
S__seed9300013,birth_substep_ledger,11000x6,int64,2,per step,"(step, + 5 scalar organiser-cell counts) - 1 row per step",True,aggregate,False
S__seed9300013,fields,29,<U19,1,event-driven / strided,names of the series columns,False,other,False
S__seed9300013,frames,220,<U569,1,event-driven / strided,JSON strings: morphology summaries at fixed stride; scalar fields only,False,other,False
S__seed9300013,hop_ledger,44000x4,int64,2,4 rows per step,"(step, species_index, ?, ?) - 4 rows per step, ONE PER DIFFUSING SPECIES: an AGGREGATE sub-step record, not a per-particle displacement",False,aggregate,False
S__seed9300013,molecule_births,68x4,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x) for X components alive at the end",True,individual,False
S__seed9300013,molecule_deaths,3356x5,int64,2,event-driven / strided,"(molecule_id, birth_step, birth_y, birth_x, death_step) - BIRTH coordinates only; no trajectory between birth and death",False,individual,False
S__seed9300013,nSX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300013,nSY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300013,nWX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300013,nWY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300013,nX_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300013,nY_final,36x36,int64,2,terminal only,terminal lattice occupancy for one species (final step only),True,field,False
S__seed9300013,series,11000x29,float64,2,per step,"(step, then 28 recorded observer fields; see PER_STEP_FIELD_NAMES)",False,aggregate,False
S__seed9300013,source_substep_ledger,44000x6,int64,2,4 rows per step,"(step, species_index, org_y_before, org_x_before, org_y_after, org_x_after) - POSITION-RESOLVED: 4 of 6 columns are lattice coordinates",True,other,False
