id,symbol,value,source_path,source_commit,source_sha256,locator,verification_mode,status,note
SEAL-04,sealed SHA-256 of experiments/individuation/geom_char.py,2b08e354edf93fe517c0a529fea4561b3dc8db54f05c163a7551b8aed7dc24c4,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.sealed_file_sha256['experiments/individuation/geom_char.py'],re-hash of the committed content at branch tip 9c8a62c,VERIFIED,recomputed = 2b08e354edf93fe517c0a529fea4561b3dc8db54f05c163a7551b8aed7dc24c4
SEAL-05,sealed SHA-256 of experiments/individuation/nonmerging_analyze.py,f9f07fee551ade119c4784aeeae027290c0881e422ef061065b16da36a32ed89,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.sealed_file_sha256['experiments/individuation/nonmerging_analyze.py'],re-hash of the committed content at branch tip 9c8a62c,VERIFIED,recomputed = f9f07fee551ade119c4784aeeae027290c0881e422ef061065b16da36a32ed89
SEAL-06,sealed SHA-256 of experiments/individuation/nonmerging_confirm.py,7e62b73827c23459d45ec3f4425195459cb081bb144a7ab74aced99260fba88c,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.sealed_file_sha256['experiments/individuation/nonmerging_confirm.py'],re-hash of the committed content at branch tip 9c8a62c,VERIFIED,recomputed = 7e62b73827c23459d45ec3f4425195459cb081bb144a7ab74aced99260fba88c
SEAL-07,sealed SHA-256 of experiments/individuation/power_explore.py,843dfd438f751ac5f31d77e0f1b43949632b32e2f2f3cc619786fbf896020837,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.sealed_file_sha256['experiments/individuation/power_explore.py'],re-hash of the committed content at branch tip 9c8a62c,VERIFIED,recomputed = 843dfd438f751ac5f31d77e0f1b43949632b32e2f2f3cc619786fbf896020837
SEAL-08,sealed SHA-256 of experiments/individuation/test_bijective_tracker.py,44a97a072eff8135a0ce7f66edb3894aa394076d81122996682ddb5438f0aadd,docs/individuation/NONMERGING_CONFIRM_PRESEAL_02.json,9b7580bc,0d9ba7c340dc33b72dad2aa10caad45d16c17ae6bb19234225cede1bbfd1ddc4,$.sealed_file_sha256['experiments/individuation/test_bijective_tracker.py'],re-hash of the committed content at branch tip 9c8a62c,VERIFIED,recomputed = 44a97a072eff8135a0ce7f66edb3894aa394076d81122996682ddb5438f0aadd
V01,analysis-stage re-run wall clock,33.7 s,verification/RECOMPUTED_CERTIFICATE_02.json,"(this deposit pass, not committed)",361002e175847d12403b8a70f97b26bbde4c2badfabfaeafad0ccae44cebfe3d,python3 nonmerging_analyze.py nonmerging_confirm_raw.json RECOMPUTED_CERTIFICATE_02.json,re-execution of the committed analysis script on the committed raw record,VERIFIED,"Simulation stage NOT re-run (32 seeds x 5 branch families of a chaotic RD-PDE, 800-step warm-up)."
V02,gated statistics on re-run,"all reproduce exactly (own mean+CI, own-sham, own-neigh, ablation, fixed-mask CI, same-sign, tracked/fixed, DD_mem, off, dose_R2, dose_null95, dose_p, every per_seed row)",verification/certificate_diff.txt,"(this deposit pass, not committed)",c2a096a2de9fe6eb93739615d5a44118ee47057d4dacbbbce6de2dfa9d162848,whole-file structural diff vs the committed certificate,byte/structural comparison,VERIFIED,
X01,full-precision value at .G2.dose_ci[0],0.5812680051877672,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G2.dose_ci[0],re-derivation with the committed analysis script on the committed raw record,DIFFERS,re-derived = 0.5812680051877673; relative difference 1.91e-16 (1-3 ULP); non-gating; NOT quoted at this precision in the manuscript
X02,full-precision value at .G2.dose_ci[1],0.8241650210611119,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G2.dose_ci[1],re-derivation with the committed analysis script on the committed raw record,DIFFERS,re-derived = 0.8241650210611118; relative difference 1.35e-16 (1-3 ULP); non-gating; NOT quoted at this precision in the manuscript
X03,full-precision value at .G2.order_R2,0.375538457118857,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G2.order_R2,re-derivation with the committed analysis script on the committed raw record,DIFFERS,re-derived = 0.3755384571188567; relative difference 8.87e-16 (1-3 ULP); non-gating; NOT quoted at this precision in the manuscript
X04,full-precision value at .G2.order_null95,0.10560937206682695,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G2.order_null95,re-derivation with the committed analysis script on the committed raw record,DIFFERS,re-derived = 0.10560937206682686; relative difference 9.20e-16 (1-3 ULP); non-gating; NOT quoted at this precision in the manuscript
X05,full-precision value at .G2.neighbour_dose_R2,-0.014269612843656132,docs/individuation/NONMERGING_CONFIRM_CERTIFICATE_02.json,830c2d0,2fc9e93c3c3a8eb8ecc3cca8454fda4e0f9bef61f51fb40a60ad5a184f94b991,$.G2.neighbour_dose_R2,re-derivation with the committed analysis script on the committed raw record,DIFFERS,re-derived = -0.014269612843656354; relative difference 1.56e-14 (1-3 ULP); non-gating; NOT quoted at this precision in the manuscript
N01,copyright holder,Tommy Lepesteur,release/LICENSE-CODE,4dfb73e+author-patch-2026-08-08,7439c0c346fe50c160b57bbc173485bf4fe05c74d6fc6fa62678e188604718fd,line 1: 'Copyright 2026 Tommy Lepesteur',"corresponding author's declaration of record, 2026-08-08, then literal-marker inspection of the patched file",VERIFIED,"RESOLVED 2026-08-08. The value originates in the author's declaration, NOT in any pre-existing repository artefact; the artefact was written to match the declaration. Prior state at 4dfb73e was the literal marker."
N02,copyright holder for data/text licence,Tommy Lepesteur,release/LICENSE-DATA-TEXT,4dfb73e+author-patch-2026-08-08,0750b7236eeaf668cb94c54175e948238a9673d7e359636f2b6cf7a93c24babc,line 1: 'Copyright 2026 Tommy Lepesteur',"corresponding author's declaration of record, 2026-08-08, then literal-marker inspection of the patched file",VERIFIED,RESOLVED 2026-08-08. Same declared holder as N01. The CC-BY-4.0 legal code is unchanged; only the holder line and the attribution sentence were added.
N03,author name,"Lepesteur, Tommy",release/AUTHORS.md,4dfb73e+author-patch-2026-08-08,a2a263a844ebb4c0cea5041130a89df1cd92f735f793e7af65dd5b3a7bba453d,'Corresponding author' block: 'Tommy Lepesteur',"corresponding author's declaration of record, 2026-08-08",VERIFIED,"RESOLVED 2026-08-08. Also written to release/CITATION.cff as family-names: Lepesteur, given-names: Tommy."
N04,author affiliation,NOT_FOUND,release/AUTHORS.md,4dfb73e+author-patch-2026-08-08,a2a263a844ebb4c0cea5041130a89df1cd92f735f793e7af65dd5b3a7bba453d,'Corresponding author' block: 'affiliation: NOT_DECLARED',literal-marker inspection,NOT_FOUND,STILL UNRESOLVED. The author declared a name only. No affiliation invented.
N05,author ORCID,NOT_FOUND,release/CITATION.cff,23b53ae+author-patch-2026-08-08,2cb5f40deff7a6402ccf12f430b096dffee83327e4ebed9b9a7d487cd232e025,"authors[0]: 'orcid: NOT_DECLARED' comment, never filled",repository-wide search for an ORCID identifier,NOT_FOUND,No ORCID exists anywhere in the repository; placeholders only. None invented.
N06,DOI,NOT_FOUND,release/CITATION.cff,23b53ae+author-patch-2026-08-08,2cb5f40deff7a6402ccf12f430b096dffee83327e4ebed9b9a7d487cd232e025,no DOI field; no DOI minted or reserved anywhere in the repository,repository-wide search,NOT_FOUND,None invented. Nothing has been submitted.
N07,funder / grant,NOT_FOUND,release/AUTHORS.md,4dfb73e+author-patch-2026-08-08,a2a263a844ebb4c0cea5041130a89df1cd92f735f793e7af65dd5b3a7bba453d,no funding section; release/README_RELEASE.md records funding as an unfilled placeholder,repository-wide search,NOT_FOUND,None invented.
N08,related identifiers,NOT_FOUND,release/CITATION.cff,23b53ae+author-patch-2026-08-08,2cb5f40deff7a6402ccf12f430b096dffee83327e4ebed9b9a7d487cd232e025,no verified related identifier,repository-wide search,NOT_FOUND,None invented.
N09,author approval of the CC-BY-4.0 / Apache-2.0 licence choice,APPROVED 2026-08-08,release/CITATION.cff,23b53ae+author-patch-2026-08-08,2cb5f40deff7a6402ccf12f430b096dffee83327e4ebed9b9a7d487cd232e025,'notes' block: licence split recorded as confirmed by the corresponding author,"corresponding author's declaration of record, 2026-08-08",VERIFIED,RESOLVED 2026-08-08. DEPOSIT_METADATA.json now carries a machine-actionable 'license': 'cc-by-4.0' plus a 'license_decision' block. Approving the licence is NOT authorisation to deposit: 'submission_status' remains NOT_SUBMITTED and N06 (DOI) remains NOT_FOUND.
N10,authorisation to deposit on Zenodo,NOT_FOUND,AUTHOR_AUTHORISATION_02.md,author-declaration-2026-08-08,3b83569a54c85fe232421e798cd2efa7bba41a9d2df79991c3836bab5ead6408,'What this authorisation is not': DEPOSIT_AUTHORISED_BY_AUTHOR = false,document text locator,NOT_FOUND,"Nothing has been submitted, reserved or published. Deliberately kept as a separate decision from the licence approval."
